---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
REPH,2019,R611,270170941,270170940,71.325708,-156.644991,2019-06-23T11:08:00Z
REPH,2019,R612,270170992,270170993,71.326003,-156.642832,2019-06-21T14:55:00Z
REPH,2019,R701,270170627,19701,71.313351,-156.660619,2019-06-10T08:06:40Z
REPH,2019,R702,273145224,273145302,71.321485,-156.63608,2019-06-11T09:12:00Z
REPH,2019,R703,273145138,273145137,71.315804,-156.651613,2019-06-20T10:56:43Z
REPH,2019,R704,270170860,270170859,71.322761,-156.668856,2019-06-23T13:55:00Z
REPH,2019,R705,273145231,273145230,71.322763,-156.643673,2019-06-21T06:16:00Z
REPH,2019,R706,273145202,273145203,71.323902,-156.631838,2019-06-13T11:48:00Z
REPH,2019,R801,270170256,270170908,71.317918,-156.655277,2019-06-12T09:36:40Z
REPH,2019,R802,270170976,273145099,71.318807,-156.650798,2019-06-15T12:51:33Z
REPH,2019,R803,270170756,270170962,71.315043,-156.657288,2019-06-19T13:19:05Z
REPH,2019,R901,273145112,273145109,71.323837,-156.63498,2019-06-06T12:22:00Z
REPH,2019,R902,270170091,270170901,71.323851,-156.647453,2019-06-12T17:37:00Z
REPH,2019,R903,270170904,273145059,71.319597,-156.654402,2019-06-13T10:03:00Z
REPH,2019,R904,270170347,270170951,71.319736,-156.640055,2019-06-15T01:58:19Z
REPH,2019,R905,273145139,270170970,71.313315,-156.656034,2019-06-13T11:34:00Z
REPH,2019,R906,270170985,270170986,71.317832,-156.645458,2019-06-16T15:59:00Z
REPH,2019,R907,270170971,273145140,71.314073,-156.657816,2019-06-19T11:11:00Z
REPH,2019,R908,273145219,273145218,71.311789,-156.659208,2019-06-18T14:05:00Z
REPH,2019,R909,270170294,273145229,71.312376,-156.659168,2019-06-13T19:17:00Z
REPH,2019,R910,270170944,270170943,71.319032,-156.643578,2019-06-17T10:06:06Z
REPH,2019,R911,270170947,273145121,71.321706,-156.657467,2019-06-20T08:36:18Z
REPH,2019,R912,273145216,273145217,71.316298,-156.661969,2019-06-19T09:50:00Z
REPH,2019,R913,273145139,270170970,71.315576,-156.664583,2019-06-21T14:19:56Z
REPH,2019,R914,270170854,270170853,71.326206,-156.644173,2019-06-23T10:30:00Z
REPH,2019,R915,273145232,270170865,71.328654,-156.643422,2019-06-15T03:13:15Z
PESA,2005,P101,,162116322,71.31868,-156.65373,2005-06-15T00:00:00Z
PESA,2005,P503,,162116380,71.32618,-156.6701,2005-06-21T00:00:00Z
PESA,2005,P201,,162116349,71.32159,-156.67309,2005-06-08T00:00:00Z
PESA,2005,P502,,162116342,71.32653,-156.67054,2005-06-15T00:00:00Z
PESA,2005,P501,,162116374,71.3199,-156.66934,2005-06-09T00:00:00Z
PESA,2005,P202,,162116355,71.32451,-156.67238,2005-06-12T00:00:00Z
PESA,2005,P203,,162116399,71.31503,-156.66709,2005-06-12T00:00:00Z
PESA,2005,P102,,162116390,71.32427,-156.64775,2005-06-13T00:00:00Z
PESA,2005,P001,,162116384,71.32693,-156.66902,2005-06-12T00:00:00Z
PESA,2005,P402,,198103149,71.32197,-156.66588,2005-06-11T00:00:00Z
PESA,2005,P401,,162116389,71.32208,-156.66416,2005-06-16T00:00:00Z
PESA,2005,P103,,198103174,71.32842,-156.64009,2005-06-16T00:00:00Z
PESA,2005,P301,,198103148,71.31272,-156.66756,2005-06-15T00:00:00Z
PESA,2005,P403,,198103107,71.32508,-156.64768,2005-06-15T00:00:00Z
PESA,2005,P302,,162116376,71.32561,-156.64642,2005-06-14T00:00:00Z
PESA,2005,P404,,162116341,71.32103,-156.67689,2005-06-12T00:00:00Z
PESA,2005,P303,,162116327,71.3252,-156.64566,2005-06-20T00:00:00Z
PESA,2005,P108,,162116338,71.32395,-156.66571,2005-06-15T00:00:00Z
PESA,2005,P105,,162116356,71.32593,-156.64623,2005-06-11T00:00:00Z
PESA,2005,P107,,198103164,71.32154,-156.66624,2005-06-12T00:00:00Z
PESA,2005,P109,,198103195,71.32287,-156.6681,2005-06-17T00:00:00Z
